path	bytes	sha256	git_blob	scope
reviews/C/CENSUS.tsv	137892	27cf8dc7ca9503285c53fab8ef4d1b0c997b6b9516d0753e8fca1c0b1b2617dd	7f3bae32843289e5079e0e8eb4f9da60122f77a0	review artifact; not a trusted theorem or source-coverage certificate
reviews/C/README.md	3650	dc20e426735a3ea0080f310b0017c61d20cafcf93ae2d8dc5ff53f2614e5230b	f801eb2aa86c372205b369b48b9bcf90ca7741cf	review artifact; not a trusted theorem or source-coverage certificate
reviews/C/RELEASE_BLOCKERS.md	5935	fe2edcffc63c0714f715b1a427582b265a93712b8736de2982a255deae0f9a59	dc13144a2f1ce3a85b09d6034f07d22bcfd4ccef	review artifact; not a trusted theorem or source-coverage certificate
reviews/C/STRUCTURE_AND_EXTRACTION.md	8425	88863752a7523c7d64ca5c844ee4ff690ad839e0e9ddd4bef142b1b6f628e175	525af5a48241b46452a3014c0eb8a5bc0e158b12	review artifact; not a trusted theorem or source-coverage certificate
reviews/C/VALIDATION.md	15251	9193c6be9a19093ff8a46d2a9f346d4cf1aa26cdfaaa17d79433d0cce994bce2	fd6d821d07d6cb2ca9269260dc8b5886dd38b1a9	review artifact; not a trusted theorem or source-coverage certificate
reviews/C/census_counts.json	516	0f5b3209835baba30c3396a3612148ceb87f91a24b49958d3b45f3e26fe2f3cb	4507b725e0fc0a9f6023e0b6c2c239b950b7384d	review artifact; not a trusted theorem or source-coverage certificate
reviews/C/check_census.py	3786	4db3f8fc48e99e0b1fd593dc2fba148625d203854722fccf5e9e921164075a7d	aba38633f7395a295cfbfb8872f7a80b1bc0dce7	review artifact; not a trusted theorem or source-coverage certificate
reviews/C/pass2/APPLY.md	2095	f0058ba8c777a84e64887960e42896131da56c9cd5206d82376307f1a3b806c5	a15865f54d3c4c7c7d28ca88616fa4e2d825b27f	review artifact; not a trusted theorem or source-coverage certificate
reviews/C/pass2/COVERAGE.tsv	2144	e6ae446babe5a999d8b6300466c8ac9e44dc8a1b2d36975c12a0c6aebcb61300	25c425920383bd6992ec661fafb3795b897b3529	review artifact; not a trusted theorem or source-coverage certificate
reviews/C/pass2/FINITE_ALGEBRA.md	3496	4e06a216c3ea6789dec90576eacedeb035d4e94bdc51eb9ee7354be376f37657	7f2b82361de07877c4b01db79a1574a648f92ffc	review artifact; not a trusted theorem or source-coverage certificate
reviews/C/pass2/FORMAL_CATALOG_AUDIT.tsv	22146	1e05cfea42c021a33a09df01a18d58fc7d24f2abb125c549e24ad9357a8c8f48	1c8437c69188cac8e5b5d03e6cc87b10d14ae0d2	review artifact; not a trusted theorem or source-coverage certificate
