route	pr	reviewed_sha	path	claim_id	short_statement	mathematical_type	review_verdict	lifecycle	rh_relationship	dependencies	surviving_scope	superseded_or_refuted_by	integration_action	notes
native-row	#468	a41f81466f85d52597c97b41505756a8860698d0	claims/lemmas/L-91377-full-mobius-row-has-the-exact-native-capacity-and-benchmark.md	L-91377	Full Möbius row has exact native ordinary/detail capacities and benchmark	UNCONDITIONAL THEOREM	VERIFIED	retained	ROUTE INFRASTRUCTURE	positive component-row response; mu*log=Lambda	exact finite normalization		retain	No positivity of c_X claimed
native-dual	#468	a41f81466f85d52597c97b41505756a8860698d0	claims/lemmas/L-91378-radix-four-dual-diagonalizes-the-native-endpoint-deficit.md	L-91378	Y4 dual turns native endpoint deficit into positive detail slack	UNCONDITIONAL THEOREM	VERIFIED	retained	ROUTE INFRASTRUCTURE	exact carry identity	exact finite duality		retain	Conclusion-producing scalar is exact
root-hall	#473	71d6a859ea741fe035de709e8d10ed37301b778e	claims/lemmas/L-91690-factor67-target-hall-is-a-source-owned-root-thinning.md	L-91690	Factor-67 P61 target Hall with score and all-row superordination	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	current	CONDITIONAL IMPLICATION	finite directed Hall/profile inputs	finite root-fibre decomposition		retain after frozen replay	Concrete endpoint-frame realization is separate
rough-owner	#471	4ac821701177edb67a77fe43e89cc2a7a53af68a	claims/lemmas/L-91688-rough-prime-deletion-gives-an-exact-first-owner-reservoir-partition.md	L-91688	Every rough monomial has one least-prime owner	UNCONDITIONAL THEOREM	VERIFIED	retained	ROUTE INFRASTRUCTURE	unique factorization	source-support partition		retain	Does not itself construct positive native entry
endpoint-frame	#464	2eb70463f3d0ae791a9f140694d2ace7032ae864	claims/lemmas/L-91674-positive-endpoint-frame-commutes-with-root-hall-and-one-global-quantization.md	L-91674	Positive integration and one quantizer commute with a given typed fibre identity	CONDITIONAL IMPLICATION	VERIFIED WITH FIXES	retained	ROUTE INFRASTRUCTURE	L-91673; L-91110; same-index functor	formal positive-linear intertwining		retain as conditional	Analytic producer hypotheses are assumptions
quantizer	#473	71d6a859ea741fe035de709e8d10ed37301b778e	claims/lemmas/L-91110-positive-martingale-bspline-quantization-is-score-favorable.md	L-91110	Positive martingale quantizer preserves modes and is score-favourable	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	retained	ROUTE INFRASTRUCTURE	endpoint-state formulas	positive linear quantization; bulk and score		retain	Collar capacity handled separately
collar	#473	71d6a859ea741fe035de709e8d10ed37301b778e	claims/lemmas/L-91111-martingale-quantization-collar-is-a-small-positive-seed.md	L-91111	Quantization collar is positive and has controlled response	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	retained	ROUTE INFRASTRUCTURE	L-91110	formula and response bounds on frozen inputs		retain after directed reconstruction	Not a proof of full native producer
all-column	#481	005ae49723898d8661d407a0433a6d69cb6d6efc	claims/lemmas/L-91733-retained-cell-euler-mismatch-closes-all-physical-columns.md	L-91733	Retained whole-cell mismatch closes every physical column	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	retained	ROUTE INFRASTRUCTURE	adjacent error bound; collar; positive inverse	all-column arithmetic conditional on common-parent identity		retain	No cutoff atom
terminal	#473	71d6a859ea741fe035de709e8d10ed37301b778e	claims/lemmas/L-91115-fixed-top-omission-closes-the-terminal-detail-annulus.md	L-91115	Fixed top omission pays terminal overfill	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	retained	ROUTE INFRASTRUCTURE	collar and mismatch bounds	terminal comparison on frozen inputs		retain after reconstruction	Used as response comparison
chebyshev	#485	116d0ffb42602d5711abdba15aeb3ba9de076984	claims/lemmas/L-19887-elementary-chebyshev-bound-makes-factor67-sqrt-thinning-native-cost-bounded.md	L-19887	Elementary psi bound makes square-root thinning cost less than 12012	UNCONDITIONAL THEOREM	VERIFIED	retained	ROUTE INFRASTRUCTURE	central binomial coefficient	unconditional J_Lambda upper bound and thinning cost		retain	No RH-bearing benchmark bridge used
one-shot-parent	#487	39d2cbc7cabf31ac1f8013f2f6d1785c86a4fdeb	claims/lemmas/L-91754-exact-measurable-whole-cell-hall-integration.md	L-91754	Construct exact measurable whole-cell common parent with internal child colours	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	current	RH-BEARING PRODUCER	L-91690; L-91688; L-91674; endpoint frame	operation order and whole-cell support		request exact source formula	Concrete native-to-positive common-parent identity is asserted rather than derived
one-shot-row	#487	39d2cbc7cabf31ac1f8013f2f6d1785c86a4fdeb	claims/lemmas/L-91755-one-shot-port-free-total-row.md	L-91755	One globally quantized row is ordinary/detail feasible and port-free	CONDITIONAL IMPLICATION	VERIFIED WITH FIXES	current	CONDITIONAL IMPLICATION	L-91754; all-column and terminal estimates	feasible-row conclusion on frozen producer		retain conditionally	Slack by complement is legitimate after feasibility
one-shot-cost	#487	39d2cbc7cabf31ac1f8013f2f6d1785c86a4fdeb	claims/lemmas/L-91756-one-shot-root-slack-below-61000.md	L-91756	Direct Y4 cost of one-shot root slack is below 61000	CONDITIONAL IMPLICATION	VERIFIED WITH FIXES	current	CONDITIONAL IMPLICATION	L-91755; L-19885; L-19887; terminal inputs	conservative upper bound		retain conditionally	Not an exact disjoint positive slack decomposition
one-shot-theorem	#487	39d2cbc7cabf31ac1f8013f2f6d1785c86a4fdeb	claims/theorems/T-91752-one-shot-factor67-proves-sontr-nrct.md	T-91752	One-shot factor-67 row plus endpoint consumer proves RH	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	current	PROPOSED COMPLETE THEOREM	L-91754--56; endpoint consumer	conditional implication if producer passes		keep draft	First producer arrow remains open
partial-cells	#488	9acd381fa168db02a03646ab16851daebbf4d0fd	claims/lemmas/L-91840-restriction-before-quadrature-closes-partial-cell-ownership.md	L-91840	Restrict signed defect measure before cell quadrature and carry	UNCONDITIONAL THEOREM	VERIFIED	current	ROUTE INFRASTRUCTURE	finite signed measure	measure restriction and carry identities		retain	Whole-cell preferred route is immediate specialization
restricted-children	#488	9acd381fa168db02a03646ab16851daebbf4d0fd	claims/lemmas/L-91841-first-owner-restricted-child-operators-are-disjoint.md	L-91841	First-owner-restricted child operators are disjoint and exhaustive	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	current	ROUTE INFRASTRUCTURE	unique least prime; same-index placement	support algebra and optional normalization		retain with wording fix	Restriction must be part of concrete operator
