source_id	source_pr	source_sha	source_path	source_blob	inspection	boundary
S01	365	902a4cfeb36392c07878591e4a8381e3f4c7b2db	research/external/anthropic-zeta23/proofs/XI_CARDINAL_GRAM_CAPTURE.md	bc126c46ab8e390953102154873999440887a73e	FULL_PROOF_READ	
S02	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90427-phase-locked-source-has-fourteen-row-carry-image.md	0649645ad465cad965c8749c64024b9b41c08a94	FULL_PROOF_READ	
S03	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90430-normalized-phase-filtered-mobius-renewal.md	2d8c50bb427c120aa16948c4af0c85b120a6ae4f	FULL_PROOF_READ	
S04	600	193ca24d4ebecabb2c51efb62fa16c37947ad90c	claims/refutations/R-95520-polylog-stable-filters-cannot-add-safe-line-zero.md	f3ac1f7a5991e60b2b387ba6574257412c9ba801	FULL_PROOF_READ	
S05	600	193ca24d4ebecabb2c51efb62fa16c37947ad90c	claims/lemmas/L-95520-safe-zero-moment-tower-for-q4.md	26f28854c50ad18c424ae17c0362a009073992f8	FULL_PROOF_READ	
S06	540	d2984600a848aca04f27b46bda86bd92229a4a0b	claims/lemmas/L-95050-scale-four-inverse-has-a-positive-coefficient-one-divisor-compiler.md	b7f0fbce28bcce727a1c59ba4383272bbb851a42	FULL_PROOF_READ	
S07	386	66e60006bedbababefae22ad8f88f06753139a2b	claims/lemmas/L-90703-q4-innovation-is-singular-cosine-energy-and-goldbach-correlation.md	e4832609a3bf7f2eac235667bd32e50cb0355d77	FULL_PROOF_READ	
S08	396	a7e140614a2544b320c274acc5c599e5176cea97	claims/lemmas/L-91023-weighted-harris-fkg-all-green-jordan-hierarchy.md	8592a7c1589cd1c9673a8b0bd7c42f53cac61c13	FULL_PROOF_READ	
S09	396	a7e140614a2544b320c274acc5c599e5176cea97	claims/lemmas/L-91026-green-removal-is-one-explicit-boundary-density.md	db45a4c3b410ac93889cd32cc90d2ee2c2897fd6	FULL_PROOF_READ	
S10	396	a7e140614a2544b320c274acc5c599e5176cea97	claims/lemmas/L-91027-green-removal-is-unconditionally-positive-at-terminal-scales.md	9fe7ae6f7a2d1ee7740eb11902b78e64b88ce4e6	FULL_PROOF_READ	
S11	396	a7e140614a2544b320c274acc5c599e5176cea97	claims/lemmas/L-91028-green-removal-is-positive-at-all-sufficiently-small-scales.md	50758d266a11430ee8f0ff41e80ed6e060e45f52	FULL_PROOF_READ	
S12	396	a7e140614a2544b320c274acc5c599e5176cea97	claims/lemmas/L-91033-horizontal-contour-crossing-selects-exactly-zeros-deeper-than-the-cauchy-scale.md	ce00934d6282736b3b233eebaf84bcf4675f5440	FULL_PROOF_READ	
S13	396	a7e140614a2544b320c274acc5c599e5176cea97	claims/lemmas/L-91034-krein-langer-cauchy-source-critical-port-decomposition.md	f01ed82a37396555611928ab6dba3b5710813e62	FULL_PROOF_READ	
S14	599	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	claims/lemmas/L-97912-positive-euler-main-and-product-boundary-localization.md	a21dfdaf7e9fff16ba2feda119245e1efedd4881	FULL_PROOF_READ	
S15	599	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	claims/lemmas/L-97910-near-critical-complete-small-prime-cube.md	eb4cfe62a69bc45fa89ad44194eeaee357d7d035	FULL_PROOF_READ	
S16	576	0f6ea6eae813c1d867ae50744cf5fd57e2720bb7	claims/lemmas/L-97400-repaired-p61-five-three-bias.md	37a5c087c52ba1183ca54d66489d21fc7b18d210	FULL_PROOF_READ	Analytic argument read; million-endpoint and full divisor campaigns not rerun.
