q=3; quadratic characters mod irreducible Q of degree d; detector D(n)=sum_{deg f<=n} mu(f)chi(f) q^{-deg f/2}
Weil RH holds for all rows.  A = main term 1/L(q^{-1/2},chi); amp = sum |B_j| over unit-circle poles;
min/max over 50<=n<=20000; neg = number of n in that range with D(n)<0
  d Q(low->high)   L(u,chi) coeffs          |alpha_j| (sqrt q=1.7321)          A       amp     min D     max D    neg
  2 101            [1, -1]                  [1.0]                         2.3660    0.0000    2.3660    2.3660      0
  2 211            [1, -1]                  [1.0]                         2.3660    0.0000    2.3660    2.3660      0
  2 221            [1, -1]                  [1.0]                         2.3660    0.0000    2.3660    2.3660      0
  3 1021           [1, -1, 3]               [1.732051, 1.732051]          0.7029    0.8757   -0.1728    1.5786   4058
  3 1121           [1, -1, 3]               [1.732051, 1.732051]          0.7029    0.8757   -0.1728    1.5786   4058
  3 1201           [1, -3, 3]               [1.732051, 1.732051]          3.7321    3.8637   -0.0000    7.4641   1662
  3 1211           [1, 1, 3]                [1.732051, 1.732051]          0.3880    0.6506   -0.2626    1.0386   5917
  3 2011           [1, 1, 3]                [1.732051, 1.732051]          0.3880    0.6506   -0.2626    1.0386   5917
  3 2111           [1, 1, 3]                [1.732051, 1.732051]          0.3880    0.6506   -0.2626    1.0386   5917
  3 2201           [1, 3, 3]                [1.732051, 1.732051]          0.2679    1.0353   -0.7321    1.2679   8313
  3 2221           [1, -1, 3]               [1.732051, 1.732051]          0.7029    0.8757   -0.1728    1.5786   4058
  4 10111          [1, 1, 1, -3]            [1.0, 1.732051, 1.732051]     0.7500    0.4876    0.2624    1.2376      0
  4 10121          [1, 1, 1, -3]            [1.0, 1.732051, 1.732051]     0.7500    0.4876    0.2624    1.2376      0
  4 11021          [1, -1, 3, -3]           [1.0, 1.732051, 1.732051]     1.1830    0.6124    0.5915    1.7745      0
  4 11101          [1, 1, 1, -3]            [1.0, 1.732051, 1.732051]     0.7500    0.4876    0.2624    1.2376      0
  4 11111          [1, 1, 1, -3]            [1.0, 1.732051, 1.732051]     0.7500    0.4876    0.2624    1.2376      0
  4 12011          [1, -1, 3, -3]           [1.0, 1.732051, 1.732051]     1.1830    0.6124    0.5915    1.7745      0
  4 12101          [1, 1, 1, -3]            [1.0, 1.732051, 1.732051]     0.7500    0.4876    0.2624    1.2376      0
  4 12121          [1, 1, 1, -3]            [1.0, 1.732051, 1.732051]     0.7500    0.4876    0.2624    1.2376      0
  4 20011          [1, -1, 3, -3]           [1.0, 1.732051, 1.732051]     1.1830    0.6124    0.5915    1.7745      0
  4 20021          [1, -1, 3, -3]           [1.0, 1.732051, 1.732051]     1.1830    0.6124    0.5915    1.7745      0
  4 20101          [1, 1, 1, -3]            [1.0, 1.732051, 1.732051]     0.7500    0.4876    0.2624    1.2376      0
  4 20201          [1, -3, 5, -3]           [1.0, 1.732051, 1.732051]     2.7990    1.6315    1.1675    4.4305      0
  4 21001          [1, -1, 3, -3]           [1.0, 1.732051, 1.732051]     1.1830    0.6124    0.5915    1.7745      0
  4 21121          [1, 1, 1, -3]            [1.0, 1.732051, 1.732051]     0.7500    0.4876    0.2624    1.2376      0
  4 21221          [1, -3, 5, -3]           [1.0, 1.732051, 1.732051]     2.7990    1.6315    1.1675    4.4305      0
  4 22001          [1, -1, 3, -3]           [1.0, 1.732051, 1.732051]     1.1830    0.6124    0.5915    1.7745      0
  4 22111          [1, 1, 1, -3]            [1.0, 1.732051, 1.732051]     0.7500    0.4876    0.2624    1.2376      0
  4 22211          [1, -3, 5, -3]           [1.0, 1.732051, 1.732051]     2.7990    1.6315    1.1675    4.4305      0
  5 100021         [1, -1, 3, -3, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    0.5419    1.0978   -0.5558    1.6393   4463
  5 100211         [1, 1, 3, 3, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.2407    0.8165   -0.5758    1.0571   5770
  5 101011         [1, -1, 1, -3, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    0.8484    1.2775   -0.4288    2.1259   3226
  5 101201         [1, 1, 3, 3, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.2407    0.8165   -0.5758    1.0571   5770
  5 101221         [1, -3, 5, -9, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    4.9367    5.5457   -0.6087   10.4821   1811
  5 102101         [1, -1, 3, -3, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    0.5419    1.0978   -0.5558    1.6393   4463
  5 102211         [1, -3, 5, -9, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    4.9367    5.5457   -0.6087   10.4821   1811
  5 102221         [1, 1, 1, 3, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.2867    0.7852   -0.4984    1.0718   5035
  5 110021         [1, -1, 5, -3, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    0.3981    1.3613   -0.9630    1.7591   6129
  5 110101         [1, -3, 5, -9, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    4.9367    5.5457   -0.6087   10.4821   1811
  5 110111         [1, 1, -1, 3, 9]         [1.732051, 1.732051, 1.732051, 1.732051]    0.3544    0.9076   -0.5532    1.2620   4710
  5 111011         [1, -1, 3, -3, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    0.5419    1.0978   -0.5558    1.6393   4463
  5 111121         [1, -3, 7, -9, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    1.1504    2.2767   -1.1260    3.4270   4636
  5 111211         [1, -1, 3, -3, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    0.5419    1.0978   -0.5558    1.6393   4463
  5 112001         [1, -1, -1, -3, 9]       [1.732051, 1.732051, 1.732051, 1.732051]    1.9533    2.3230   -0.3697    4.2763   1984
  5 112111         [1, -3, 7, -9, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    1.1504    2.2767   -1.1260    3.4270   4636
  5 112201         [1, -1, 5, -3, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    0.3981    1.3613   -0.9630    1.7591   6129
  5 120001         [1, -3, 7, -9, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    1.1504    2.2767   -1.1260    3.4270   4636
  5 120011         [1, 1, 1, 3, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.2867    0.7852   -0.4984    1.0718   5035
  5 120221         [1, -1, 1, -3, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    0.8484    1.2775   -0.4288    2.1259   3226
  5 121111         [1, -1, -1, -3, 9]       [1.732051, 1.732051, 1.732051, 1.732051]    1.9533    2.3230   -0.3697    4.2763   1984
  5 122021         [1, 1, 5, 3, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.2074    1.1255   -0.9181    1.3329   7024
  5 122101         [1, -1, 1, -3, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    0.8484    1.2775   -0.4288    2.1259   3226
  5 122201         [1, -1, 1, -3, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    0.8484    1.2775   -0.4288    2.1259   3226
  5 200011         [1, 1, 3, 3, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.2407    0.8165   -0.5758    1.0571   5770
  5 200221         [1, -1, 3, -3, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    0.5419    1.0978   -0.5558    1.6393   4463
  5 201101         [1, 1, 3, 3, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.2407    0.8165   -0.5758    1.0571   5770
  5 201211         [1, -1, 1, -3, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    0.8484    1.2775   -0.4288    2.1259   3226
  5 201221         [1, 3, 5, 9, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.1402    1.1627   -1.0224    1.3029   8799
  5 202021         [1, 1, 1, 3, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.2867    0.7852   -0.4984    1.0718   5035
  5 202201         [1, -1, 3, -3, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    0.5419    1.0978   -0.5558    1.6393   4463
  5 202211         [1, 3, 5, 9, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.1402    1.1627   -1.0224    1.3029   8799
  5 210011         [1, 1, 5, 3, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.2074    1.1255   -0.9181    1.3329   7024
  5 210101         [1, 3, 5, 9, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.1402    1.1627   -1.0224    1.3029   8799
  5 210121         [1, -1, -1, -3, 9]       [1.732051, 1.732051, 1.732051, 1.732051]    1.9533    2.3230   -0.3697    4.2763   1984
  5 211001         [1, 1, -1, 3, 9]         [1.732051, 1.732051, 1.732051, 1.732051]    0.3544    0.9076   -0.5532    1.2620   4710
  5 211121         [1, 3, 7, 9, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.1282    1.1542   -1.0257    1.2824   8072
  5 211201         [1, 1, 5, 3, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.2074    1.1255   -0.9181    1.3329   7024
  5 212021         [1, 1, 3, 3, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.2407    0.8165   -0.5758    1.0571   5770
  5 212111         [1, 3, 7, 9, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.1282    1.1542   -1.0257    1.2824   8072
  5 212221         [1, 1, 3, 3, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.2407    0.8165   -0.5758    1.0571   5770
  5 220001         [1, 3, 7, 9, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.1282    1.1542   -1.0257    1.2824   8072
  5 220021         [1, -1, 1, -3, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    0.8484    1.2775   -0.4288    2.1259   3226
  5 220211         [1, 1, 1, 3, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.2867    0.7852   -0.4984    1.0718   5035
  5 221011         [1, -1, 5, -3, 9]        [1.732051, 1.732051, 1.732051, 1.732051]    0.3981    1.3613   -0.9630    1.7591   6129
  5 221101         [1, 1, 1, 3, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.2867    0.7852   -0.4984    1.0718   5035
  5 221201         [1, 1, 1, 3, 9]          [1.732051, 1.732051, 1.732051, 1.732051]    0.2867    0.7852   -0.4984    1.0718   5035
  5 222121         [1, 1, -1, 3, 9]         [1.732051, 1.732051, 1.732051, 1.732051]    0.3544    0.9076   -0.5532    1.2620   4710
  6 1000111        [1, 1, 1, 3, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.4456    0.6727   -0.2263    1.1175   2407
  6 1000121        [1, 1, 1, 3, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.4456    0.6727   -0.2263    1.1175   2407
  6 1000201        [1, 3, 5, 3, -3, -9]     [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.2460    1.0234   -0.7759    1.2678   6449
  6 1001021        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 1001101        [1, 1, 1, 3, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.4456    0.6727   -0.2263    1.1175   2407
  6 1001221        [1, 3, 5, 3, -3, -9]     [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.2460    1.0234   -0.7759    1.2678   6449
  6 1002011        [1, -1, 3, -3, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.7887    0.9052    0.1820    1.6380      0
  6 1002101        [1, 1, 1, 3, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.4456    0.6727   -0.2263    1.1175   2407
  6 1002211        [1, 3, 5, 3, -3, -9]     [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.2460    1.0234   -0.7759    1.2678   6449
  6 1010201        [1, -1, 5, -5, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.6453    1.1948   -0.5090    1.7996   3103
  6 1011001        [1, 1, 1, 3, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.4456    0.6727   -0.2263    1.1175   2407
  6 1011011        [1, 1, 1, 3, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.4456    0.6727   -0.2263    1.1175   2407
  6 1012001        [1, 1, 1, 3, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.4456    0.6727   -0.2263    1.1175   2407
  6 1012021        [1, 1, 1, 3, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.4456    0.6727   -0.2263    1.1175   2407
  6 1020001        [1, 3, 5, 3, -3, -9]     [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.2460    1.0234   -0.7759    1.2678   6449
  6 1020101        [1, -1, 5, -5, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.6453    1.1948   -0.5090    1.7996   3103
  6 1021021        [1, 3, 5, 3, -3, -9]     [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.2460    1.0234   -0.7759    1.2678   6449
  6 1021121        [1, -1, -1, 1, 9, -9]    [1.732051, 1.732051, 1.0, 1.732051, 1.732051]    1.4196    1.2794    0.1805    2.6588      0
  6 1022011        [1, 3, 5, 3, -3, -9]     [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.2460    1.0234   -0.7759    1.2678   6449
  6 1022111        [1, -1, -1, 1, 9, -9]    [1.732051, 1.732051, 1.0, 1.732051, 1.732051]    1.4196    1.2794    0.1805    2.6588      0
  6 1100111        [1, 1, 3, 1, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.3959    0.7422   -0.3462    1.1380   3455
  6 1101011        [1, -1, 5, -5, 9, -9]    [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.6453    1.1948   -0.5090    1.7996   3103
  6 1101101        [1, 1, 1, 3, 3, -9]      [1.0, 1.732051, 1.732051, 1.732051, 1.732051]    0.4456    0.6727   -0.2263    1.1175   2407
