q=5; quadratic characters mod irreducible Q of degree d; detector D(n)=sum_{deg f<=n} mu(f)chi(f) q^{-deg f/2}
Weil RH holds for all rows.  A = main term 1/L(q^{-1/2},chi); amp = sum |B_j| over unit-circle poles;
min/max over 50<=n<=20000; neg = number of n in that range with D(n)<0
  d Q(low->high)   L(u,chi) coeffs          |alpha_j| (sqrt q=2.2361)          A       amp     min D     max D    neg
  2 111            [1, -1]                  [1.0]                         1.8090    0.0000    1.8090    1.8090      0
  2 141            [1, -1]                  [1.0]                         1.8090    0.0000    1.8090    1.8090      0
  2 201            [1, -1]                  [1.0]                         1.8090    0.0000    1.8090    1.8090      0
  2 211            [1, -1]                  [1.0]                         1.8090    0.0000    1.8090    1.8090      0
  2 241            [1, -1]                  [1.0]                         1.8090    0.0000    1.8090    1.8090      0
  2 301            [1, -1]                  [1.0]                         1.8090    0.0000    1.8090    1.8090      0
  2 321            [1, -1]                  [1.0]                         1.8090    0.0000    1.8090    1.8090      0
  2 331            [1, -1]                  [1.0]                         1.8090    0.0000    1.8090    1.8090      0
  2 421            [1, -1]                  [1.0]                         1.8090    0.0000    1.8090    1.8090      0
  2 431            [1, -1]                  [1.0]                         1.8090    0.0000    1.8090    1.8090      0
  3 1011           [1, -1, 5]               [2.236068, 2.236068]          0.6440    0.8233   -0.1793    1.4673   4272
  3 1021           [1, 1, 5]                [2.236068, 2.236068]          0.4086    0.6558   -0.2472    1.0645   5704
  3 1101           [1, 3, 5]                [2.236068, 2.236068]          0.2993    0.7376   -0.4384    1.0369   7323
  3 1131           [1, -1, 5]               [2.236068, 2.236068]          0.6440    0.8233   -0.1793    1.4673   4272
  3 1141           [1, -3, 5]               [2.236068, 2.236068]          1.5189    1.6618   -0.1429    3.1808   2653
  3 1201           [1, 1, 5]                [2.236068, 2.236068]          0.4086    0.6558   -0.2472    1.0645   5704
  3 1311           [1, 3, 5]                [2.236068, 2.236068]          0.2993    0.7376   -0.4384    1.0369   7323
  3 1341           [1, 3, 5]                [2.236068, 2.236068]          0.2993    0.7376   -0.4384    1.0369   7323
  3 1411           [1, 1, 5]                [2.236068, 2.236068]          0.4086    0.6558   -0.2472    1.0645   5704
  3 1431           [1, 3, 5]                [2.236068, 2.236068]          0.2993    0.7376   -0.4384    1.0369   7323
  3 2011           [1, -1, 5]               [2.236068, 2.236068]          0.6440    0.8233   -0.1793    1.4673   4272
  3 2031           [1, 1, 5]                [2.236068, 2.236068]          0.4086    0.6558   -0.2472    1.0645   5704
  3 2131           [1, -1, 5]               [2.236068, 2.236068]          0.6440    0.8233   -0.1793    1.4673   4272
  3 2141           [1, -3, 5]               [2.236068, 2.236068]          1.5189    1.6618   -0.1429    3.1808   2653
  3 2221           [1, -3, 5]               [2.236068, 2.236068]          1.5189    1.6618   -0.1429    3.1808   2653
  3 2231           [1, -3, 5]               [2.236068, 2.236068]          1.5189    1.6618   -0.1429    3.1808   2653
  3 2301           [1, -1, 5]               [2.236068, 2.236068]          0.6440    0.8233   -0.1793    1.4673   4272
  3 2401           [1, -3, 5]               [2.236068, 2.236068]          1.5189    1.6618   -0.1429    3.1808   2653
  3 2421           [1, 3, 5]                [2.236068, 2.236068]          0.2993    0.7376   -0.4384    1.0369   7323
