interface	status	evidence
PR #534 endpoint packing close	SUPERSEDED	PR #541 exact normalization
Volterra derivative causal reset	FORBIDDEN	PR #503 counterexample
canonical paired stopping line	IMPORTED EXACT	L-91362/L-91650
compact AVLT py<166000	FROZEN DIRECTED	L-91781 blob 2c16327c6653009667fa06ddbb24628ff583c0fe
MPFR AVLT tail py>=166000	PROVED DIRECTED	ba6b137b64819a9d01e706ffffdf100b091e49034895e6eeb280b56f514c99c5
compact/tail join	EXACT	boundary 166000 tail-owned
canonical projective full-row identity	PROPOSED COMPLETE	L-96302
outer native row x<67	PROVED DIRECTED	PASS_MPFR_DIRECTED_OUTER_NATIVE_ROW_1_TO_67
fixed-row Mellin transform	PROPOSED COMPLETE	L-96303
rows 2/3 noncancellation	PROVED EXACT	-3(x-1)(x-2)
Landau finish	PROPOSED COMPLETE	T-96300
accepted proof of RH	NO	independent review required
